DH	INJV	Xt	Mt	XMt	NDH
-881.94164	2.41	0	2.5	0.17625	-9758.6904
-940.06266	2.41	0.43552	2.47096	0.35455	-10401.79984
-925.78078	2.41	0.86592	2.44226	0.5349	-10243.77074
-888.26374	2.41	1.2912	2.41389	0.7173	-9828.64443
-725.04497	2.41	1.71136	2.38585	0.90174	-8022.6276
-404.33926	2.41	2.12641	2.35812	1.08823	-4474.01667
-148.30513	2.41	2.53634	2.3307	1.27676	-1640.99731
-64.19569	2.41	2.94115	2.3036	1.46735	-710.32575
-34.98472	2.41	3.34084	2.27679	1.65998	-387.1062
-23.83608	2.41	3.73542	2.25028	1.85465	-263.74635
-18.63415	2.41	4.12488	2.22407	2.05138	-206.18704
-16.06073	2.41	4.50922	2.19814	2.25015	-177.71212
-14.47128	2.41	4.88844	2.1725	2.45097	-160.12483
-13.2708	2.41	5.26255	2.14713	2.65383	-146.84151
-13.11803	2.41	5.63153	2.12204	2.85875	-145.15106
-12.34033	2.41	5.9954	2.09721	3.06571	-136.5458
	--	6.35416	2.07266	--	
