DH	INJV	Xt	Mt	XMt	NDH
-74.60268	2.42	0	5	0.17699	-411.03403
-90.35766	2.42	0.87463	4.94169	0.35604	-497.83833
-94.58763	2.42	1.73893	4.88406	0.53716	-521.14395
-92.62807	2.42	2.59292	4.82709	0.72034	-510.34749
-80.59798	2.42	3.43658	4.77077	0.90559	-444.06603
-69.28713	2.42	4.26993	4.71509	1.0929	-381.74726
-58.79203	2.42	5.09295	4.66005	1.28227	-323.92304
-51.9265	2.42	5.90566	4.60562	1.47371	-286.09642
-43.54534	2.42	6.70804	4.55181	1.66721	-239.91924
-38.36695	2.42	7.50011	4.4986	1.86278	-211.38816
-34.69539	2.42	8.28185	4.44597	2.06041	-191.1592
-31.50866	2.42	9.05327	4.39393	2.2601	-173.60145
-28.71112	2.42	9.81438	4.34245	2.46186	-158.18801
-26.53449	2.42	10.56516	4.29154	2.66568	-146.19555
-25.35327	2.42	11.30562	4.24118	2.87157	-139.68746
-23.36548	2.42	12.03576	4.19136	3.07952	-128.73545
	--	12.75559	4.14207	--	
